Lista tags in plc2
sono stati raggruppati i tags  (vedi nmin..nmax)
----------------------------------------------------------------+-----+-----------------------------------------------------------------------------------
Nome tag                                                        | I/O |Descrizione
CistTAG_Combustibile_Cisterna1..10_ValvRitornoOpen_DI_Trigger   |  I  |
CistTAG_Combustibile_Cisterna1..10_ValvRitornoClose_DI_Trigger  |  I  |
CistTAG_Combustibile_Cisterna1..10_ValvRitornoAllarmeCodice     |  O  |
CistTAG_Combustibile_Cisterna1..10_DI_ValvCaricoBloccoTemp      |  I  |
CistTAG_Combustibile_Cisterna1..10_ValvCaricoInverteComando     |  O  |
CistTAG_Combustibile_Cisterna1..10_ValvCaricoTempoTimeOutOpen   |  O  |
CistTAG_Combustibile_Cisterna1..10_ValvCaricoTempoTimeOutClose  |  O  |
CistTAG_Combustibile_Cisterna1..10_ValvCaricoTempoAntirimbalzoFC|  O  |
CistTAG_Combustibile_Cisterna1..10_ValvCaricoOpen_DI_Trigger    |  I  |
CistTAG_Combustibile_Cisterna1..10_ValvCaricoClose_DI_Trigger   |  I  |
CistTAG_Combustibile_Cisterna1..10_ValvCaricoAllarmeCodice      |  O  |
CistTAG_Combustibile_Cisterna1..10_DI_ValvAuxBloccoTemp         |  I  |
CistTAG_Combustibile_Cisterna1..10_ValvAuxInverteComando        |  O  |
CistTAG_Combustibile_Cisterna1..10_ValvAuxTempoTimeOutOpen      |  O  |
CistTAG_Combustibile_Cisterna1..10_ValvAuxTempoTimeOutClose     |  O  |
CistTAG_Combustibile_Cisterna1..10_ValvAuxTempoAntirimbalzoFC   |  O  |
CistTAG_Combustibile_Cisterna1..10_ValvAuxOpen_DI_Trigger       |  I  |
CistTAG_Combustibile_Cisterna1..10_ValvAuxClose_DI_Trigger      |  I  |
CistTAG_Combustibile_Cisterna1..10_ValvAuxAllarmeCodice         |  O  |
CistTAG_Combustibile_Cisterna1..10_NumeroValvolePresenti        |  O  |
CistTAG_Combustibile_Cisterna1..10_AbilitaOrizzontale           |  O  |
CistTAG_Combustibile_Cisterna1..10_DiametroMm                   |  O  |
CistTAG_Combustibile_Cisterna1..10_LunghezzaMm                  |  O  |
CistTAG_Combustibile_Cisterna1..10_AbilitaValvolaMandata        |  O  |
CistTAG_Combustibile_Cisterna1..10_AbilitaValvolaRitorno        |  O  |
CistTAG_Combustibile_Cisterna1..10_AbilitaValvolaCarico         |  O  |
